frame, quality_{k-1}, originalSize_k, compressedSize_k, B_k, BVar, alarm
4778, 58, 1219.044921875, 192.94921875, 3.0959, 0.5, 0
4779, 58, 1218.6015625, 192.7734375, 3.0959, 0.5, 0
4780, 58, 1219.0361328125, 192.794921875, 3.0959, 0.5, 0
4781, 58, 1218.521484375, 192.5849609375, 3.0959, 0.5, 0
4782, 58, 1218.169921875, 192.4658203125, 3.0959, 0.5, 0
4783, 58, 1217.1513671875, 192.3037109375, 3.0959, 0.5, 0
4784, 58, 1217.4072265625, 192.236328125, 3.0959, 0.5, 0
4785, 59, 1209.8349609375, 193.5595703125, 2.8556570282577995, 0.2596943449516917, 0
4786, 59, 1209.6806640625, 193.3798828125, 2.8556570282577995, 0.2596943449516917, 0
4787, 59, 1209.0634765625, 193.294921875, 2.8556570282577995, 0.2596943449516917, 0
4788, 59, 1208.6005859375, 193.0859375, 2.8556570282577995, 0.2596943449516917, 0
4789, 59, 1208.2109375, 193.111328125, 2.8556570282577995, 0.2596943449516917, 0
4790, 59, 1207.3818359375, 192.98828125, 2.8556570282577995, 0.2596943449516917, 0
4791, 59, 1204.865234375, 192.58984375, 2.8556570282577995, 0.2596943449516917, 0
4792, 59, 1202.5869140625, 192.2744140625, 2.8556570282577995, 0.2596943449516917, 0
4793, 59, 1201.19140625, 192.0859375, 2.8556570282577995, 0.2596943449516917, 0
4794, 60, 1201.0517578125, 194.396484375, 2.6669756004368583, 0.18451650361837277, 0
3438, 60, 404.2939453125, 49.7001953125, 2.6669756004368583, 0.18451650361837277, 1
3439, 60, 410.205078125, 50.080078125, NULL, NULL, 1
3440, 60, 409.51953125, 50.14453125, NULL, NULL, 1
3441, 60, 414.8525390625, 50.50390625, NULL, NULL, 1
3442, 60, 406.09375, 49.328125, NULL, NULL, 1
3443, 60, 396.802734375, 48.533203125, NULL, NULL, 1
3444, 60, 399.6982421875, 48.4443359375, NULL, NULL, 1
3445, 60, 400.8359375, 48.7119140625, NULL, NULL, 1
3446, 60, 404.9443359375, 49.140625, NULL, NULL, 1
3447, 60, 426.4052734375, 51.3623046875, NULL, NULL, 1
3448, 60, 426.3701171875, 51.572265625, NULL, NULL, 1
3449, 60, 425.216796875, 51.6943359375, NULL, NULL, 1
3450, 60, 416.373046875, 51.412109375, NULL, NULL, 1
3451, 60, 427.7412109375, 52.0048828125, NULL, NULL, 1
3452, 60, 431.927734375, 52.22265625, NULL, NULL, 1
3453, 60, 433.9365234375, 52.419921875, NULL, NULL, 1
3454, 60, 431.33203125, 52.3330078125, NULL, NULL, 1
3455, 60, 435.8076171875, 52.4404296875, NULL, NULL, 1
3456, 60, 436.748046875, 52.4970703125, NULL, NULL, 1
3457, 60, 438.0830078125, 52.4248046875, NULL, NULL, 1
